Dry_molar_flow_rate,Current_set,Pressure,Pump_stoichiometry,Relative_humidity_H2,Relative_humidity_air,Temperature_air,Temperature_hydrogen,Max_CL_ice_cathode
0.28,23.59,142.22,0.03,62.44,85.56,273.3,331.86,8.35
3.13,97.3,171.85,0.08,94.17,66.63,261.6,336.05,3.42
0.56,94.41,216.79,0.09,67.62,40.03,338.17,321.43,3.11
3.72,51.16,194.87,0.02,73.52,96.63,304.97,330.82,4.47
0.63,31.06,142.41,0.03,55.89,88.03,253.57,266.33,17
3.31,91.64,170.39,0.07,63.23,62.64,275.15,309.27,18.12
1.83,71.64,170.39,0.07,63.23,62.64,275.15,309.27,19.24
0.61,27.86,251.07,0.13,53.62,34.97,260.99,311.49,23.14
0.69,57.62,223.56,0.15,73.24,56.44,269.31,301.97,15.42
1.94,65,209.75,0.05,97.58,91.72,315.48,306.11,9.41
1.46,49.38,259.86,0.13,93.33,40.46,331.28,256.53,24.13
0.36,42.06,175.79,0.02,54.78,69.9,306.33,302.81,5.4
0.99,81.11,212.58,0.07,31.4,81.75,256.68,292.9,9.07
1.56,74.41,216.79,0.09,67.62,40.03,338.17,321.43,7.7
2.26,92.94,225.96,0.13,48.53,50.26,269.64,288.95,20.17
0.99,69.47,235.9,0.12,66.43,62.3,323.4,314.25,9.66
0.2,37.09,148.07,0.11,63.5,77.56,293.98,314.09,15.3
3.58,66.76,153.25,0.1,52.2,75.94,265.59,323.2,23.31
0.56,34.41,216.79,0.09,67.62,40.03,338.17,321.43,14.57
3.95,41.11,212.58,0.07,31.4,81.75,256.68,292.9,18.34
1.96,41.11,212.58,0.07,31.4,81.75,256.68,292.9,24.77
0.35,52.94,225.96,0.13,48.53,50.26,269.64,288.95,6.36
1.66,72.16,183.65,0.06,32.69,69.91,292.62,310.23,13.23
3.88,54.31,235.9,0.08,79.6,74.13,331.84,297.98,17.93
0.23,92.16,183.65,0.06,32.69,69.91,292.62,310.23,4.49
3.62,75.12,209.14,0.07,92.72,71.44,304.65,310.65,10.36
0.98,65.45,186.01,0.08,86.85,85.42,300.75,296.35,13.66
1.36,93.19,200.16,0.08,46.14,96.93,311.11,288.69,10.38
1.18,34.41,216.79,0.09,67.62,40.03,338.17,321.43,21.23
1.21,28.67,185.59,0.13,65.65,42.68,324.12,260.92,31.37
1.21,92.38,212.77,0.08,62.91,31.34,280.29,317.6,7.2
1.95,40.33,242.7,0.04,83.54,30.82,285.55,338.12,4
1.42,73.47,151.53,0.15,91.47,98.35,295.33,299.02,27.07
2.72,52.26,192.44,0.14,36.95,78.83,258.57,340.43,19.2
0.32,54.41,216.79,0.09,67.62,40.03,338.17,321.43,2.87
1.29,60.67,218.38,0.15,52.47,75.65,291.98,273.06,23.27
3.21,72.47,217.51,0.06,50.83,60.63,333.41,258.25,24.04
1.8,42.83,184.11,0.02,98.88,60.51,333.42,276.58,12.18
3.33,53.06,220.48,0.03,55.07,44.73,264.75,320.71,5.15
3.66,72.16,183.65,0.06,32.69,69.91,292.62,310.23,14.16
1.3,23.59,142.22,0.03,62.44,85.56,273.3,331.86,10.86
3.46,59.29,177.43,0.09,44.87,57.88,272.04,273.17,24.26
2.67,25.76,174.81,0.06,82.44,73.26,291.74,332.21,2.63
2.91,84.33,208.21,0.03,52.69,31.32,308.74,266.62,12.35
1.55,54.94,229.84,0.02,45.22,93.26,260.66,320.58,7.2
1.2,22.06,175.79,0.02,54.78,69.9,306.33,302.81,16.22
3.94,65,209.75,0.05,97.58,91.72,315.48,306.11,8.37
3.1,51.86,225.82,0.13,90.06,72.19,302.19,329.4,9.49
0.49,69.47,235.9,0.12,66.43,62.3,323.4,314.25,2.9
3.06,74.41,216.79,0.09,67.62,40.03,338.17,321.43,7.96
1.68,24.33,208.21,0.03,52.69,31.32,308.74,266.62,20
1.16,92.16,183.65,0.06,32.69,69.91,292.62,310.23,8.13
1.79,61.66,251.52,0.05,30.65,52.3,313.22,328.96,5.94
2.08,66.76,153.25,0.1,52.2,75.94,265.59,323.2,26.58
3.57,62.06,175.79,0.02,54.78,69.9,306.33,302.81,6.84
3.1,54.63,210.14,0.02,44.64,97.34,279.44,278.97,10.47
2.69,57.25,157.78,0.12,98.95,98.73,296.2,320.97,20.56
2.08,34.09,187.53,0.07,88.83,69.58,269.65,271.59,27.25
1.87,79.29,177.43,0.09,44.87,57.88,272.04,273.17,22.85
3.15,81.66,251.52,0.05,30.65,52.3,313.22,328.96,5.26
1.9,68.23,208.29,0.03,32.33,58.5,259.38,341.58,6.4
0.97,85.35,213.68,0.11,90.5,67.49,306.24,320.73,6.39
0.49,85.45,186.01,0.08,86.85,85.42,300.75,296.35,4.75
0.91,52.38,212.77,0.08,62.91,31.34,280.29,317.6,13.05
2.1,39.29,177.43,0.09,44.87,57.88,272.04,273.17,26.21
3.35,62.32,175.69,0.12,58.83,86.97,288.84,313.94,24.24
0.24,72.26,192.44,0.14,36.95,78.83,258.57,340.43,4.26
2.4,43.59,142.22,0.03,62.44,85.56,273.3,331.86,4.96
3.61,50.74,224.47,0.07,36.97,37.02,335.9,284.86,21.69
0.81,84.45,214.03,0.06,93.18,96.06,314.51,293.65,4.4
0.73,64.33,208.21,0.03,52.69,31.32,308.74,266.62,5.93
3.79,61.66,251.52,0.05,30.65,52.3,313.22,328.96,4.31
0.28,38.99,184.25,0.1,30.95,87.47,261.89,309.21,11.28
1.07,35.12,209.14,0.07,92.72,71.44,304.65,310.65,19.58
3.36,91.39,172.4,0.11,50.19,81.46,339.75,292.15,20.13
0.83,30.74,224.47,0.07,36.97,37.02,335.9,284.86,20.2
0.22,50.25,198.28,0.09,85.13,98.42,332.04,307.73,3.09
3.85,62.32,175.69,0.12,58.83,86.97,288.84,313.94,23.16
2.89,29.38,259.86,0.13,93.33,40.46,331.28,256.53,32.27
0.49,65.45,186.01,0.08,86.85,85.42,300.75,296.35,6.5
3.34,56.66,234.22,0.15,79.24,49.72,305.93,269.5,29.72
0.27,92.47,217.51,0.06,50.83,60.63,333.41,258.25,4.58
3.22,84.45,214.03,0.06,93.18,96.06,314.51,293.65,13.54
3.15,80.67,218.38,0.15,52.47,75.65,291.98,273.06,27.3
1.4,68.23,208.29,0.03,32.33,58.5,259.38,341.58,6.45
1.71,72.38,212.77,0.08,62.91,31.34,280.29,317.6,12.97
1.43,42.32,175.69,0.12,58.83,86.97,288.84,313.94,27.65
2.49,69.47,235.9,0.12,66.43,62.3,323.4,314.25,16.99
2.32,86.76,153.25,0.1,52.2,75.94,265.59,323.2,24.04
0.66,23.3,198.57,0.03,80.55,54.89,337.79,255.89,12.6
1.3,40,244.72,0.05,59.78,49.15,324.97,332.83,5.34
0.61,32.94,225.96,0.13,48.53,50.26,269.64,288.95,22.34
3.17,91.06,142.41,0.03,55.89,88.03,253.57,266.33,17.65
0.67,98.88,251.37,0.1,71.77,79.31,256.02,323.68,2.87
1.64,32.47,217.51,0.06,50.83,60.63,333.41,258.25,27.6
2.48,65.45,186.01,0.08,86.85,85.42,300.75,296.35,22.47
1.2,39.59,154.42,0.06,63.66,50.73,263.84,315.13,25.37
2.35,28.29,255.13,0.03,63.27,75.19,256.33,323.68,5.71
2.16,72.16,183.65,0.06,32.69,69.91,292.62,310.23,14.45
3.14,87.86,251.07,0.13,53.62,34.97,260.99,311.49,18.41
3.15,40.67,218.38,0.15,52.47,75.65,291.98,273.06,28.47
1.97,65.35,213.68,0.11,90.5,67.49,306.24,320.73,15.76
2.39,98.99,184.25,0.1,30.95,87.47,261.89,309.21,20.22
3.71,72.47,217.51,0.06,50.83,60.63,333.41,258.25,26.54
0.32,91.86,225.82,0.13,90.06,72.19,302.19,329.4,4.85
0.16,66.76,153.25,0.1,52.2,75.94,265.59,323.2,2.33
0.48,32.47,217.51,0.06,50.83,60.63,333.41,258.25,10.12
2.27,71.86,225.82,0.13,90.06,72.19,302.19,329.4,10.3
2.48,65.45,186.01,0.08,86.85,85.42,300.75,296.35,22.47
3.99,61.11,212.58,0.07,31.4,81.75,256.68,292.9,20.67
1.69,53.47,151.53,0.15,91.47,98.35,295.33,299.02,31.4
3.74,25.35,213.68,0.11,90.5,67.49,306.24,320.73,11.19
0.98,20.33,242.7,0.04,83.54,30.82,285.55,338.12,7.53
2.47,29.47,235.9,0.12,66.43,62.3,323.4,314.25,22.47
3.28,77.3,171.85,0.08,94.17,66.63,261.6,336.05,3.18
3.66,77.61,189.71,0.14,45.18,34.49,315.47,304.02,22.48
2.64,57.61,189.71,0.14,45.18,34.49,315.47,304.02,25.34
0.27,92.47,217.51,0.06,50.83,60.63,333.41,258.25,4.58
3.9,27.49,258.84,0.02,51.7,58.63,267.82,327.99,2.69
0.47,58.99,184.25,0.1,30.95,87.47,261.89,309.21,12.04
2.84,55.04,206.88,0.13,56.53,90.24,318.58,261.84,32.15
3.01,67.36,239.91,0.14,39.82,84.47,331.45,331.46,12.26
0.12,27.36,239.91,0.14,39.82,84.47,331.45,331.46,1.9
2.21,30.74,224.47,0.07,36.97,37.02,335.9,284.86,24.43
2.37,44.37,253.32,0.09,61.65,81.77,297.29,340.47,6.07
3.23,64.33,208.21,0.03,52.69,31.32,308.74,266.62,15.11
2.93,20.28,141.37,0.08,51.32,83.94,266.38,332.61,9.78
2.04,87.36,239.91,0.14,39.82,84.47,331.45,331.46,7.06
0.62,20.67,218.38,0.15,52.47,75.65,291.98,273.06,28.99
1.23,84.33,208.21,0.03,52.69,31.32,308.74,266.62,6.92
2.37,42.59,248.48,0.09,36.46,68.07,294.27,335.1,16.19
1.26,62.12,189.76,0.08,43.04,48.52,322.83,319.47,13.59
0.18,98.99,184.25,0.1,30.95,87.47,261.89,309.21,1.37
0.81,64.45,214.03,0.06,93.18,96.06,314.51,293.65,6.18
2.72,92.26,192.44,0.14,36.95,78.83,258.57,340.43,14.65
1.06,74.41,216.79,0.09,67.62,40.03,338.17,321.43,4.93
0.98,21.11,212.58,0.07,31.4,81.75,256.68,292.9,26.01
0.41,50.17,213.87,0.03,84.53,38.67,329.47,330.99,4.64
1.16,97.61,189.71,0.14,45.18,34.49,315.47,304.02,13.48
3.96,89.47,235.9,0.12,66.43,62.3,323.4,314.25,12.26
1.35,45.76,174.81,0.06,82.44,73.26,291.74,332.21,12.11
2.91,84.33,208.21,0.03,52.69,31.32,308.74,266.62,12.35
2.25,34.63,210.14,0.02,44.64,97.34,279.44,278.97,10.67
2.49,69.47,235.9,0.12,66.43,62.3,323.4,314.25,16.99
1.6,78.99,184.25,0.1,30.95,87.47,261.89,309.21,20.57
1.99,61.11,212.58,0.07,31.4,81.75,256.68,292.9,21.31
0.56,53.55,152.04,0.02,68.9,31.15,336.81,253.98,7.36
0.81,52.93,195.63,0.04,43.05,49.43,305.96,325.83,6.26
1.01,77.09,148.07,0.11,63.5,77.56,293.98,314.09,21.3
0.51,24.33,208.21,0.03,52.69,31.32,308.74,266.62,6.42
1.28,24.37,253.32,0.09,61.65,81.77,297.29,340.47,19.38
1.11,23.57,184.86,0.02,30.68,71.13,277.7,333.43,6.23
2.85,52.47,217.51,0.06,50.83,60.63,333.41,258.25,27.77
0.76,82.12,189.76,0.08,43.04,48.52,322.83,319.47,5.51
0.53,53.61,170.52,0.02,33.95,34.06,292.25,297.06,6.71
2.45,97.83,254.33,0.11,61.44,61.3,329.33,341.22,3.3
0.57,82.06,175.79,0.02,54.78,69.9,306.33,302.81,5.5
2.64,97.61,189.71,0.14,45.18,34.49,315.47,304.02,20.37
3.98,65.45,186.01,0.08,86.85,85.42,300.75,296.35,22.68
0.32,91.86,225.82,0.13,90.06,72.19,302.19,329.4,4.85
2.5,95.12,209.14,0.07,92.72,71.44,304.65,310.65,7.87
1.43,47.47,194.43,0.07,33.54,80.54,331.12,286.04,20.37
1.47,32.16,183.65,0.06,32.69,69.91,292.62,310.23,22.96
3.13,97.3,171.85,0.08,94.17,66.63,261.6,336.05,3.42
1.36,33.55,152.04,0.02,68.9,31.15,336.81,253.98,18.2
0.39,37.61,189.71,0.14,45.18,34.49,315.47,304.02,18.13
0.69,31.64,170.39,0.07,63.23,62.64,275.15,309.27,22.92
1.63,50.74,224.47,0.07,36.97,37.02,335.9,284.86,19.04
2.27,82.06,175.79,0.02,54.78,69.9,306.33,302.81,7.95
0.83,93.06,220.48,0.03,55.07,44.73,264.75,320.71,4.58
2.2,48.12,243.46,0.09,54.05,98.1,339.63,324.15,11.84
1.26,44.45,214.03,0.06,93.18,96.06,314.51,293.65,17.77
3.31,25.96,162.78,0.07,38.45,65.79,273.34,341.41,3.3
0.98,29.47,235.9,0.12,66.43,62.3,323.4,314.25,24.9
1.33,37.83,254.33,0.11,61.44,61.3,329.33,341.22,13.88
1.51,67.36,239.91,0.14,39.82,84.47,331.45,331.46,12.39
3.95,81.11,212.58,0.07,31.4,81.75,256.68,292.9,20.21
3.79,42.83,184.11,0.02,98.88,60.51,333.42,276.58,16.96
2.06,74.41,216.79,0.09,67.62,40.03,338.17,321.43,8.87
1.07,62.06,175.79,0.02,54.78,69.9,306.33,302.81,7.74
2.63,52.16,183.65,0.06,32.69,69.91,292.62,310.23,18.77
1.29,71.06,142.41,0.03,55.89,88.03,253.57,266.33,14.57
0.21,79.59,154.42,0.06,63.66,50.73,263.84,315.13,6.29
1.11,34.55,241.88,0.11,51.49,32.33,339.46,263.93,26.08
1.73,64.33,208.21,0.03,52.69,31.32,308.74,266.62,11.11
2.64,97.61,189.71,0.14,45.18,34.49,315.47,304.02,20.37
0.3,37.83,254.33,0.11,61.44,61.3,329.33,341.22,1.54
0.97,44.33,208.21,0.03,52.69,31.32,308.74,266.62,9.13
1.94,20,244.72,0.05,59.78,49.15,324.97,332.83,12.84
1.78,77.3,171.85,0.08,94.17,66.63,261.6,336.05,4.36
0.87,38.99,184.25,0.1,30.95,87.47,261.89,309.21,25
1.08,70.17,213.87,0.03,84.53,38.67,329.47,330.99,5.58
0.58,90.17,213.87,0.03,84.53,38.67,329.47,330.99,4.35
0.83,71.64,170.39,0.07,63.23,62.64,275.15,309.27,12.09
1.74,54.94,154.1,0.1,49.38,66.22,265.04,268.89,27.81
1.08,66.76,153.25,0.1,52.2,75.94,265.59,323.2,22.95
2.32,27.86,251.07,0.13,53.62,34.97,260.99,311.49,24.65
1.56,32.93,195.63,0.04,43.05,49.43,305.96,325.83,14.11
3.61,77.83,254.33,0.11,61.44,61.3,329.33,341.22,2.47
2.49,61.11,212.58,0.07,31.4,81.75,256.68,292.9,22.62
1.18,57.3,171.85,0.08,94.17,66.63,261.6,336.05,9.93
0.4,46.76,153.25,0.1,52.2,75.94,265.59,323.2,18.61
0.32,35.12,209.14,0.07,92.72,71.44,304.65,310.65,3.83
1.15,25.12,155.78,0.09,63.35,33.88,280.29,297.06,29.04
0.76,62.12,189.76,0.08,43.04,48.52,322.83,319.47,8.86
1.24,30.17,213.87,0.03,84.53,38.67,329.47,330.99,4.47
0.9,90.74,224.47,0.07,36.97,37.02,335.9,284.86,4.08
1.12,52.14,247.6,0.11,62.86,99.32,272.67,294.19,19.13
1.61,77.83,254.33,0.11,61.44,61.3,329.33,341.22,3.74
3.78,77.3,171.85,0.08,94.17,66.63,261.6,336.05,3.22
0.79,71.06,142.41,0.03,55.89,88.03,253.57,266.33,11.53
0.99,99.18,152.25,0.1,74.45,44.62,267.67,342.73,7.15
2.09,35,160.6,0.06,64.27,66.47,258.04,283.66,25.2
0.49,89.47,235.9,0.12,66.43,62.3,323.4,314.25,2.62
1.75,32.47,217.51,0.06,50.83,60.63,333.41,258.25,27.93
0.24,26.76,153.25,0.1,52.2,75.94,265.59,323.2,20.66
3.56,74.41,216.79,0.09,67.62,40.03,338.17,321.43,6.88
1.9,70.74,224.47,0.07,36.97,37.02,335.9,284.86,13.82
3.07,72.94,225.96,0.13,48.53,50.26,269.64,288.95,25.29
0.44,93.47,151.53,0.15,91.47,98.35,295.33,299.02,12.34
1.63,48.23,208.29,0.03,32.33,58.5,259.38,341.58,6.25
0.66,97.61,189.71,0.14,45.18,34.49,315.47,304.02,7.94
1.68,72.26,192.44,0.14,36.95,78.83,258.57,340.43,19.24
0.83,24.37,253.32,0.09,61.65,81.77,297.29,340.47,19.71
1.56,32.93,195.63,0.04,43.05,49.43,305.96,325.83,14.11
0.28,64.33,208.21,0.03,52.69,31.32,308.74,266.62,4.99
2.39,58.99,184.25,0.1,30.95,87.47,261.89,309.21,24.89
2.24,94.41,216.79,0.09,67.62,40.03,338.17,321.43,4.89
3.04,82.12,189.76,0.08,43.04,48.52,322.83,319.47,11.78
3.76,62.12,189.76,0.08,43.04,48.52,322.83,319.47,14.04
2.1,78.99,184.25,0.1,30.95,87.47,261.89,309.21,22.32
1.83,73.06,220.48,0.03,55.07,44.73,264.75,320.71,6.83
1.23,64.33,208.21,0.03,52.69,31.32,308.74,266.62,8.71
3.96,49.47,235.9,0.12,66.43,62.3,323.4,314.25,16.96
0.37,73.06,220.48,0.03,55.07,44.73,264.75,320.71,4.44
1.35,38.09,186.02,0.1,52.73,71.18,327.94,299.92,26.52
3.81,48.53,222.8,0.08,70.61,78.97,282.64,317.61,14.07
1.18,47.86,251.07,0.13,53.62,34.97,260.99,311.49,21.39
1.42,93.47,151.53,0.15,91.47,98.35,295.33,299.02,23.55
0.57,72.94,225.96,0.13,48.53,50.26,269.64,288.95,7.56
0.58,86.76,153.25,0.1,52.2,75.94,265.59,323.2,13.24
0.7,57.61,189.71,0.14,45.18,34.49,315.47,304.02,18.11
3.31,91.64,170.39,0.07,63.23,62.64,275.15,309.27,18.12
2.68,44.37,255.39,0.07,91.52,46.22,338.59,297.45,19.29
1.18,92.26,192.44,0.14,36.95,78.83,258.57,340.43,13.05
3.12,75.12,209.14,0.07,92.72,71.44,304.65,310.65,10.9
1.31,84.45,214.03,0.06,93.18,96.06,314.51,293.65,6.91
0.35,30.25,198.28,0.09,85.13,98.42,332.04,307.73,11.79
3.27,71.86,225.82,0.13,90.06,72.19,302.19,329.4,5.92
2.57,59.59,154.42,0.06,63.66,50.73,263.84,315.13,23.7
3.14,79.59,154.42,0.06,63.66,50.73,263.84,315.13,20.11
0.45,44.37,253.32,0.09,61.65,81.77,297.29,340.47,2.76
0.83,28.23,208.29,0.03,32.33,58.5,259.38,341.58,5.7
1.08,49.44,143.08,0.11,40.76,44.52,291.37,318.89,27.88
1.93,45.45,186.01,0.08,86.85,85.42,300.75,296.35,25.35
2.09,33.19,200.16,0.08,46.14,96.93,311.11,288.69,26.28
2.55,32.67,187.81,0.14,95.57,34.39,291.31,293.41,28.83
0.58,66.76,153.25,0.1,52.2,75.94,265.59,323.2,16.8
2.31,64.45,214.03,0.06,93.18,96.06,314.51,293.65,16.35
1.48,53.19,200.16,0.08,46.14,96.93,311.11,288.69,22
2.49,79.18,152.25,0.1,74.45,44.62,267.67,342.73,3.2
1.29,38.99,184.25,0.1,30.95,87.47,261.89,309.21,26.95
0.25,30,214.58,0.02,78.94,70.41,274.56,342.47,3.08
2.18,72.26,192.44,0.14,36.95,78.83,258.57,340.43,19.11
2.48,53.55,152.04,0.02,68.9,31.15,336.81,253.98,20.62
3.68,93.47,151.53,0.15,91.47,98.35,295.33,299.02,29.81
0.44,73.47,151.53,0.15,91.47,98.35,295.33,299.02,16.11
2.63,92.16,183.65,0.06,32.69,69.91,292.62,310.23,11.7
1.31,64.45,214.03,0.06,93.18,96.06,314.51,293.65,10.54
3.22,44.45,214.03,0.06,93.18,96.06,314.51,293.65,21.57
0.71,58.09,186.02,0.1,52.73,71.18,327.94,299.92,13.13
0.21,34.41,216.79,0.09,67.62,40.03,338.17,321.43,1.46
1.49,60.33,242.7,0.04,83.54,30.82,285.55,338.12,5.24
0.27,72.47,217.51,0.06,50.83,60.63,333.41,258.25,6.15
0.24,92.26,192.44,0.14,36.95,78.83,258.57,340.43,3.14
2.16,77.61,189.71,0.14,45.18,34.49,315.47,304.02,22.62
3.76,45,209.75,0.05,97.58,91.72,315.48,306.11,13.68
1.37,53.06,220.48,0.03,55.07,44.73,264.75,320.71,7.52
0.33,87.86,251.07,0.13,53.62,34.97,260.99,311.49,4.9
0.62,21.66,251.52,0.05,30.65,52.3,313.22,328.96,12.48
0.73,27.47,194.43,0.07,33.54,80.54,331.12,286.04,22.81
2.62,57.62,223.56,0.15,73.24,56.44,269.31,301.97,26.11
